Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Identification.Make
147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,27,Automatic transmission,2009 Audi A4 Sedan 2.0 T Quattro AT,2009 Audi A4 Sedan,2009,211,258,Audi
147,96,34,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2009 Audi A4 Sedan 3.2,2009 Audi A4 Sedan,2009,265,243,Audi
172,63,87,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,29,Automatic transmission,2012 Acura TL,2012 Acura TL,2012,280,254,Acura
172,63,87,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2012 Acura TL SH-AWD,2012 Acura TL,2012,305,273,Acura
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2010 BMW X5 M SUV,2010 BMW X5,2010,555,500,BMW
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2011 BMW X5 M SUV,2011 BMW X5,2011,555,500,BMW
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2010 BMW X6 M,2010 BMW X6,2010,555,500,BMW
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2011 BMW X6 M,2011 BMW X6,2011,555,500,BMW
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2012 Chevrolet Colorado Work Truck,2012 Chevrolet Colorado,2012,185,190,Chevrolet
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2012 Chevrolet Colorado Extended Cab Work Truck,2012 Chevrolet Colorado,2012,185,190,Chevrolet
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2012 Chevrolet Colorado Crew Cab 1LT,2012 Chevrolet Colorado,2012,185,190,Chevrolet
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2011 Chevrolet Colorado Work Truck,2011 Chevrolet Colorado,2011,185,190,Chevrolet
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2011 Chevrolet Colorado Extended Cab Work Truck,2011 Chevrolet Colorado,2011,185,190,Chevrolet
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Chevrolet Colorado Crew Cab 1LT,2011 Chevrolet Colorado,2011,185,190,Chevrolet
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2010 Chevrolet Colorado Work Truck,2010 Chevrolet Colorado,2010,185,190,Chevrolet
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,20,Gasoline,26,Manual transmission,2010 Chevrolet Colorado Extended Cab Work Truck,2010 Chevrolet Colorado,2010,185,190,Chevrolet
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2010 Chevrolet Colorado Crew Cab LT1,2010 Chevrolet Colorado,2010,185,190,Chevrolet
77,60,219,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,18,Automatic transmission,2012 Chevrolet Express LS 1500,2012 Chevrolet Express,2012,310,334,Chevrolet
77,60,219,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,9,E85,12,Automatic transmission,2012 Chevrolet Express LS 1500 AWD,2012 Chevrolet Express,2012,310,334,Chevrolet
77,60,219,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2011 Chevrolet Express LS 1500,2011 Chevrolet Express,2011,310,334,Chevrolet
77,60,219,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2011 Chevrolet Express LS 1500 AWD,2011 Chevrolet Express,2011,310,334,Chevrolet
22,60,219,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,TRUE,6,6 Speed Automatic,8,E85,12,Automatic transmission,2011 Chevrolet Express LS 2500,2011 Chevrolet Express,2011,280,295,Chevrolet
22,60,219,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,TRUE,6,6 Speed Automatic,8,E85,12,Automatic transmission,2011 Chevrolet Express LS 2500 6.0L,2011 Chevrolet Express,2011,324,373,Chevrolet
24,60,224,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,10,E85,13,Automatic transmission,2010 Chevrolet Express LS 1500,2010 Chevrolet Express,2010,310,334,Chevrolet
24,60,224,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2010 Chevrolet Express LS 1500 AWD,2010 Chevrolet Express,2010,310,334,Chevrolet
77,102,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Chevrolet Silverado 1500 Work Truck,2011 Chevrolet Silverado 1500,2011,195,260,Chevrolet
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,TRUE,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,2011 Chevrolet Silverado 1500,2011,302,305,Chevrolet
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,2011 Chevrolet Silverado 1500,2011,195,260,Chevrolet
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,2010 Chevrolet Silverado 1500,2010,195,260,Chevrolet
77,102,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500 Work Truck,2010 Chevrolet Silverado 1500,2010,195,260,Chevrolet
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,TRUE,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,2010 Chevrolet Silverado 1500,2010,302,305,Chevrolet
43,52,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2011 Nissan 370Z NISMO,2011 Nissan 370Z Coupe,2011,350,276,Nissan
35,75,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2010 Nissan 370Z NISMO,2010 Nissan 370Z Coupe,2010,350,276,Nissan
35,75,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2009 Nissan 370Z NISMO,2009 Nissan 370Z Coupe,2009,350,276,Nissan
167,168,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,29,Manual transmission,2011 Volvo C30 T5,2011 Volvo C30,2011,227,236,Volvo
167,168,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo C30 T5 AT,2011 Volvo C30,2011,227,236,Volvo
167,155,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2010 Volvo C30 T5 AT,2010 Volvo C30,2010,227,236,Volvo
167,155,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,29,Manual transmission,2010 Volvo C30 T5,2010 Volvo C30,2010,227,236,Volvo
193,34,107,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,TRUE,6,6 Speed Automatic,9,Gasoline,15,Automatic transmission,2010 Bentley Brooklands,2010 Bentley Brooklands,2010,530,774,Bentley
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,14,Automatic transmission,2012 Bentley Continental Supersports Convertible,2012 Bentley Continental Supersports Convertible,2012,621,590,Bentley
110,199,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic Select Shift,8,E85,14,Automatic transmission,2012 Bentley Continental Supersports Coupe,2012 Bentley Continental Supersports Coupe,2012,621,590,Bentley
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,14,Automatic transmission,2011 Bentley Continental Supersports Convertible,2011 Bentley Continental Supersports Convertible,2011,621,590,Bentley
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Bentley Continental Supersports,2010 Bentley Continental Supersports,2010,621,590,Bentley
118,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,13,Automatic transmission,2012 Bentley Continental Flying Spur,2012 Bentley Continental Flying Spur,2012,552,479,Bentley
108,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,11,Gasoline,19,Automatic transmission,2012 Bentley Continental Flying Spur Speed,2012 Bentley Continental Flying Spur,2012,600,553,Bentley
185,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2011 Bentley Continental Flying Spur Speed,2011 Bentley Continental Flying Spur,2011,600,553,Bentley
185,170,184,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental Flying Spur Speed,2010 Bentley Continental Flying Spur,2010,600,553,Bentley
195,170,184,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental Flying Spur,2010 Bentley Continental Flying Spur,2010,552,479,Bentley
120,7,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2011 Volvo C70 T5,2011 Volvo C70,2011,227,236,Volvo
119,230,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,20,Gasoline,28,Manual transmission,2010 Volvo C70 T5,2010 Volvo C70,2010,227,236,Volvo
119,230,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2010 Volvo C70 T5 AT,2010 Volvo C70,2010,227,236,Volvo
172,123,234,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,TRUE,5,5 Speed Manual,21,Gasoline,29,Manual transmission,2010 Volvo S40 2.4i,2010 Volvo S40,2010,168,170,Volvo
172,123,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2010 Volvo S40 R-Design,2010 Volvo S40,2010,227,236,Volvo
172,123,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo S40 T5,2011 Volvo S40,2011,227,236,Volvo
190,123,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,20,Gasoline,27,Manual transmission,2010 Volvo S40 R-Design AWD,2010 Volvo S40,2010,227,236,Volvo
203,19,72,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2012 Volvo S60 T5,2012 Volvo S60,2012,250,266,Volvo
203,19,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2012 Volvo S60 T6 AWD,2012 Volvo S60,2012,300,325,Volvo
203,19,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2012 Volvo S60 R-Design,2012 Volvo S60,2012,325,354,Volvo
203,14,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic,18,Gasoline,26,Automatic transmission,2011 Volvo S60 T6 AWD,2011 Volvo S60,2011,300,325,Volvo
213,243,69,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,19,Gasoline,27,Automatic transmission,2011 Volvo S80 3.2,2011 Volvo S80,2011,240,236,Volvo
213,243,69,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission,2010 Volvo S80 V8,2010 Volvo S80,2010,311,325,Volvo
213,243,69,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2010 Volvo S80 T6 AWD,2010 Volvo S80,2010,281,295,Volvo
213,243,69,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission,2010 Volvo S80 3.2,2010 Volvo S80,2010,235,236,Volvo
177,169,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo V50 T5,2011 Volvo V50,2011,227,236,Volvo
193,169,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,20,Gasoline,26,Manual transmission,2010 Volvo V50 R-Design,2010 Volvo V50,2010,227,236,Volvo
177,169,234,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,31,Automatic transmission,2010 Volvo V50 2.4i,2010 Volvo V50,2010,168,170,Volvo
175,19,97,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Volvo XC60 T6 AWD,2011 Volvo XC60,2011,300,325,Volvo
175,19,97,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Volvo XC60 3.2,2011 Volvo XC60,2011,240,236,Volvo
175,19,97,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission,2010 Volvo XC60 T6 AWD,2010 Volvo XC60,2010,281,295,Volvo
175,19,97,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission,2010 Volvo XC60 3.2,2010 Volvo XC60,2010,235,236,Volvo
66,230,69,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Volvo XC70 3.2,2011 Volvo XC70,2011,240,236,Volvo
66,230,69,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Volvo XC70 T6 AWD,2011 Volvo XC70,2011,300,325,Volvo
66,230,69,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic,16,Gasoline,21,Automatic transmission,2010 Volvo XC70 T6 AWD,2010 Volvo XC70,2010,281,295,Volvo
66,230,69,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,16,Gasoline,22,Automatic transmission,2010 Volvo XC70 3.2,2010 Volvo XC70,2010,235,236,Volvo
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 Toyota 4Runner SR5,2011 Toyota 4Runner,2011,270,278,Toyota
24,216,24,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner SR5 4WD,2011 Toyota 4Runner,2011,270,278,Toyota
93,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner Trail,2011 Toyota 4Runner,2011,270,278,Toyota
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 Toyota 4Runner Limited,2011 Toyota 4Runner,2011,270,278,Toyota
24,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner  Limited 4WD,2011 Toyota 4Runner,2011,270,278,Toyota
247,200,105,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Volvo XC90 3.2,2011 Volvo XC90,2011,240,236,Volvo
247,200,105,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,14,Gasoline,21,Automatic transmission,2011 Volvo XC90 V8,2011 Volvo XC90,2011,311,325,Volvo
247,200,105,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission,2010 Volvo XC90 3.2,2010 Volvo XC90,2010,235,236,Volvo
247,200,105,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,13,Gasoline,19,Automatic transmission,2010 Volvo XC90 V8,2010 Volvo XC90,2010,311,325,Volvo
10,215,69,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission,2010 Volvo V70 3.2,2010 Volvo V70,2010,235,236,Volvo
24,216,133,Rear-wheel drive,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,23,Automatic transmission,2010 Toyota 4Runner SR5,2010 Toyota 4Runner,2010,157,178,Toyota
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2010 Toyota 4Runner SR5 V6,2010 Toyota 4Runner,2010,270,278,Toyota
24,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2010 Toyota 4Runner SR5 V6 4WD,2010 Toyota 4Runner,2010,270,278,Toyota
93,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2010 Toyota 4Runner Trail,2010 Toyota 4Runner,2010,270,278,Toyota
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2010 Toyota 4Runner Limited,2010 Toyota 4Runner,2010,270,278,Toyota
24,216,133,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission,2010 Toyota 4Runner Limited 4WD,2010 Toyota 4Runner,2010,270,278,Toyota
143,196,203,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission,2012 Audi A3 2.0 T,2012 Audi A3,2012,200,207,Audi
152,240,57,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2010 Honda Accord EX-L V-6 Coup,2010 Honda Accord Coupe,2010,271,251,Honda
152,240,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Automatic,21,Gasoline,31,Automatic transmission,2010 Honda Accord EX Coup AT,2010 Honda Accord Coupe,2010,190,162,Honda
152,240,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,31,Manual transmission,2010 Honda Accord EX-L Coup,2010 Honda Accord Coupe,2010,190,162,Honda
152,240,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Automatic,21,Gasoline,31,Automatic transmission,2010 Honda Accord EX-L Coup AT,2010 Honda Accord Coupe,2010,190,162,Honda
152,240,57,Front-wheel drive,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,TRUE,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2010 Honda Accord EX-L V-6 Coup AT,2010 Honda Accord Coupe,2010,271,251,Honda
152,240,57,Front-wheel drive,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,31,Manual transmission,2010 Honda Accord EX Coup,2010 Honda Accord Coupe,2010,190,162,Honda
